QUANTITY	PART NUMBER	Value	Device	Package	CUSTOMER REFERENCE	Description
1	1276-5110-1-ND	100k	R-US_R0603	R0603	R18	"RESISTOR, American symbol"
2	490-1532-1-ND	100nF	C-EUC0603	C0603	"C4, C6"	"CAPACITOR, European symbol"
4	490-6405-1-ND	10uF	C-EUC0603	C0603	"C2, C3, C7, C8"	"CAPACITOR, European symbol"
1	1276-5062-1-ND	1k	R-US_R0603	R0603	R17	"RESISTOR, American symbol"
2	490-1549-1-ND	1uF	C-EUC0603	C0603	"C1, C5"	"CAPACITOR, European symbol"
9	1276-5094-1-ND	22k	R-US_R0603	R0603	"R1, R2, R3, R4, R5, R6, R14, R15, R16"	"RESISTOR, American symbol"
6	1276-5069-1-ND	2k	R-US_R0603	R0603	"R7, R8, R9, R10, R11, R12"	"RESISTOR, American symbol"
1	490-4024-1-ND	4.7uH	L-US	R0603	L1	"INDUCTOR, American symbol"
1	1276-5054-1-ND	470	R-US_R0603	R0603	R13	"RESISTOR, American symbol"
1	568-9252-1-ND	74HCT2G17	74HCT2G17	SOT363	U5	IC BUFF DL SCHM TRG N-INV 6TSSOP
1	ATTINY84A-SSURCT-ND	ATTINY84-20SSU	ATTINY84-20SSU	SOIC127P600X175-14N	U1	8-bit Microcontroller with Bytes In-System Programmable Flash
1	BK-912-ND	BAT-HLD-2032-SMD	BAT-HLD-2032-SMD	BAT-HLD-2032-SMD	BT1	SMD battery holder for 2032 coincell
1	BSS138CT-ND	BSS138	MOSFET-NCHANNELSMD	SOT23-3	Q7	Generic NMOS footprint
1	BSS84CT-ND	BSS84	BSS84	SOT23-3	Q8	P-CHANNEL MOS FET
1	893-1181-1-ND	DC-DC-BOOST-XC9140	DC-DC-BOOST-XC9140	SOT-23-5	U2	5V output boost converter
6	1080-1358-1-ND	LED-SIDELOOKING-IR26-51C	LED-SIDELOOKING-IR26-51C	LED-SIDELOOKING	"D1, D2, D3, D4, D5, D6"	Sidelooking IR LED
1	MCP6001T-I/OTCT-ND 	MCP601OT	MCP601OT	SOT23-5	U4	Single Op Amp 2.7V to 6.0V Single Supply CMOS
1	423-1394-1-ND 	MICROPHONE-MEMS	MICROPHONE-MEMS	MEMS-MIC	MK1	Mems microphone
6	754-1365-1-ND 	PHOTOTRANSISTOR-SFH-325LOW-PROFILE	PHOTOTRANSISTOR-SFH-325LOW-PROFILE	SMD-PHOTOTRANSISTOR-LP	"Q1, Q2, Q3, Q4, Q5, Q6"	Sidelooking NPN phototransistor
1	P12970SCT-ND	TACT-SWITCH-GENERAL	TACT-SWITCH-GENERAL	TACT-SWITCH-6MM	S1	General Off-Mom 6mm tactile switch
